x0000,y0000
0.,0.
1.,0.
2.,0.
3.,0.
4.,0.
5.,0.
6.,0.
7.,0.
8.,0.
9.,0.
10.,0.
11.,0.
12.,0.
13.,0.
14.,0.
15.,0.
16.,0.
17.,0.
18.,0.
19.,0.
20.,0.
21.,0.
22.,0.
23.,0.
24.,0.
25.,0.
26.,0.
27.,0.
28.,0.
29.,0.
30.,0.
31.,0.
32.,0.
33.,0.
34.,0.
35.,0.
36.,0.
37.,0.
38.,0.
39.,0.
40.,0.
41.,0.
42.,0.
43.,0.
44.,0.
45.,0.
46.,0.
47.,0.
48.,0.
49.,0.
50.,0.7983782160
51.,0.7342743284
52.,0.6628338144
53.,0.5847704841
54.,0.5008643204
55.,0.4119536859
56.,0.3189269464
57.,0.2227135943
58.,0.1242749615
59.,0.0245946144
60.,-0.0753314739
61.,-0.1745048750
62.,-0.2719346812
63.,-0.3666474058
64.,-0.4576967108
65.,-0.5441728616
66.,-0.6252118170
67.,-0.7000038626
68.,-0.767801701
69.,-0.8279279186
70.,-0.8797817541
71.,-0.9228451011
72.,-0.956687685
73.,-0.9809713617
74.,-0.9954534969
75.,-0.9999893897
76.,-0.9945337192
77.,-0.9791409964
78.,-0.9539650205
79.,-0.9192573415
80.,-0.8753647469
81.,-0.8227257972
82.,-0.7618664432
83.,-0.6933947716
84.,-0.6179949286
85.,-0.5364202846
86.,-0.4494859065
87.,-0.3580604137
88.,-0.2630572996
89.,-0.165425804
90.,-0.0661414284
91.,0.0338038105
92.,0.1334112929
93.,0.2316857738
94.,0.3276453269
95.,0.4203311563
96.,0.5088171757
97.,0.5922192621
98.,0.6697040894
99.,0.7404974548
100.,0.8038920144
101.,0.8592543507
102.,0.9060313016
103.,0.9437554872
104.,0.97204998
105.,0.9906320706
106.,0.9993160931
107.,0.9980152795
108.,0.9867426271
109.,0.9656107686
110.,0.9348308465
111.,0.8947104035
112.,0.84565031
113.,0.7881407581
114.,0.7227563642
115.,0.6501504277
116.,0.5710484030
117.,0.4862406515
118.,0.3965745441
119.,0.3029459949
120.,0.2062905095
121.,0.1075738375
122.,0.0077823233
123.,-0.0920869493
124.,-0.1910361196
125.,-0.2880765201
126.,-0.3822385552
127.,-0.4725813891
128.,-0.5582023459
129.,-0.6382459294
130.,-0.7119123706
131.,-0.7784656186
132.,-0.8372406956
133.,-0.8876503402
134.,-0.9291908761
135.,-0.9614472439
136.,-0.9840971486
137.,-0.99691428
138.,-0.9997705733
139.,-0.9926374896
140.,-0.9755863003
141.,-0.9487873751
142.,-0.9125084800
143.,-0.8671121019
144.,-0.8130518263
145.,-0.7508678056
146.,-0.681181362
147.,-0.6046887793
148.,-0.5221543463
149.,-0.4344027197
150.,-0.3423106846
151.,-0.2467983944
152.,-0.1488201762
153.,-0.049354996
154.,0.0506033230
155.,0.1500560304
156.,0.2480094275
157.,0.3434847963
158.,0.4355281787
159.,0.5232199074
160.,0.6056837958
161.,0.6820958919
162.,0.7516927113
163.,0.8137788656
164.,0.8677340105
165.,0.9130190440
166.,0.9491814930
